"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"249","KKOIIGHA_00366","CDS",318,"rplX","","","Large ribosomal subunit protein uL24","K02895"
"250","KKOIIGHA_00367","CDS",372,"rplN","","","Large ribosomal subunit protein uL14","K02874"
"251","KKOIIGHA_00368","CDS",261,"rpsQ","","","Small ribosomal subunit protein uS17","K02961"
"252","KKOIIGHA_00369","CDS",192,"rpmC","","","Large ribosomal subunit protein uL29","K02904"
"253","KKOIIGHA_00370","CDS",414,"rplP","","COG0197","Large ribosomal subunit protein uL16","K02878"
"254","KKOIIGHA_00371","CDS",702,"rpsC","","","Small ribosomal subunit protein uS3","K02982"
"255","KKOIIGHA_00372","CDS",333,"rplV","","","Large ribosomal subunit protein uL22","K02890"
"256","KKOIIGHA_00373","CDS",276,"rpsS","","","Small ribosomal subunit protein uS19","K02965"
"257","KKOIIGHA_00374","CDS",828,"rplB","","","Large ribosomal subunit protein uL2","K02886"
"258","KKOIIGHA_00375","CDS",297,"rplW","","","Large ribosomal subunit protein uL23","K02892"
"259","KKOIIGHA_00376","CDS",606,"rplD","","","Large ribosomal subunit protein uL4","K02926"
"260","KKOIIGHA_00377","CDS",639,"rplC","","COG0087","Large ribosomal subunit protein uL3","K02906"
"261","KKOIIGHA_00378","CDS",312,"rpsJ","","","Small ribosomal subunit protein uS10","K02946"
"262","KKOIIGHA_00379","CDS",1194,"tuf1","3.6.5.3","","Elongation factor Tu","K02358"
"263","KKOIIGHA_00380","CDS",2121,"fusA1","","","elongation factor G FusA1","K02355"
"264","KKOIIGHA_00381","CDS",471,"rpsG","","","Small ribosomal subunit protein uS7","K02992"
"265","KKOIIGHA_00382","CDS",375,"rpsL","","","Small ribosomal subunit protein uS12","K02950"
"266","KKOIIGHA_00383","CDS",4218,"rpoC","2.7.7.6","","DNA-directed RNA polymerase subunit beta'","K03046"
"267","KKOIIGHA_00384","CDS",4077,"rpoB","","","DNA-directed RNA polymerase subunit beta RpoB","K03043"
"268","KKOIIGHA_00385","CDS",372,"rplL","","","Large ribosomal subunit protein bL12","K02935"
"269","KKOIIGHA_00386","CDS",501,"rplJ","","COG0244","Large ribosomal subunit protein uL10","K02864"
"270","KKOIIGHA_00387","CDS",693,"rplA","","COG0081","Large ribosomal subunit protein uL1","K02863"
"271","KKOIIGHA_00388","CDS",432,"rplK","","","Large ribosomal subunit protein uL11","K02867"
"272","KKOIIGHA_00389","CDS",534,"nusG","","COG0250","Transcription termination/antitermination protein NusG","K02601"
"273","KKOIIGHA_00390","CDS",369,"secE","","COG0690","Protein translocase subunit SecE","K03073"
"274","KKOIIGHA_00395","CDS",840,"coaX","2.7.1.33","","Type III pantothenate kinase","K03525"
"275","KKOIIGHA_00396","CDS",987,"birA","6.3.4.15","COG0340","Bifunctional ligase/repressor BirA","K03524"
"276","KKOIIGHA_00397","CDS",969,"","","","hypothetical protein","K07080"
"277","KKOIIGHA_00400","CDS",828,"ycbX","","COG0633","putative protein YcbX","K07140"
"278","KKOIIGHA_00404","CDS",648,"","","","putative protein","K07100"
"279","KKOIIGHA_00405","CDS",1008,"fruR","","COG1609","Fructose operon regulatory protein","K03435"
"280","KKOIIGHA_00406","CDS",2883,"","","","hypothetical protein","K23993"
"281","KKOIIGHA_00407","CDS",981,"fruk","2.7.1.56","COG1105","1-phosphofructokinase","K00882"
"282","KKOIIGHA_00408","CDS",1749,"fruA","","COG1299","PTS system fructose-specific EIIB'BC component","K02770"
"283","KKOIIGHA_00410","CDS",582,"","","","hypothetical protein","K09932"
"284","KKOIIGHA_00413","CDS",2406,"mprF","2.3.2.3","COG0392","Phosphatidylglycerol lysyltransferase","K14205"
"285","KKOIIGHA_00415","CDS",312,"","","","hypothetical protein","K11312"
"286","KKOIIGHA_00416","CDS",1521,"exaC","1.2.1.-","","Acetaldehyde dehydrogenase","K00138"
"287","KKOIIGHA_00417","CDS",951,"","","","hypothetical protein","K02002"
"288","KKOIIGHA_00418","CDS",483,"nrdR","","COG1327","Transcriptional repressor NrdR","K07738"
"289","KKOIIGHA_00419","CDS",1134,"ribD","","COG0117","Riboflavin biosynthesis protein RibD","K11752"
"290","KKOIIGHA_00420","CDS",1185,"ribBA","","COG0108","Riboflavin biosynthesis protein RibBA","K14652"
"291","KKOIIGHA_00421","CDS",483,"ribH","2.5.1.78","","6,7-dimethyl-8-ribityllumazine synthase","K00794"
"292","KKOIIGHA_00422","CDS",501,"nusB","","","Transcription antitermination protein NusB","K03625"
"293","KKOIIGHA_00423","CDS",954,"thiL","2.7.4.16","","Thiamine-monophosphate kinase","K00946"
"294","KKOIIGHA_00424","CDS",474,"pgpA","3.1.3.27","COG1267","Phosphatidylglycerophosphatase A","K01095"
"295","KKOIIGHA_00425","CDS",2418,"lon_1","3.4.21.53","COG0466","Lon protease","K01338"
"296","KKOIIGHA_00426","CDS",1005,"thiB","","COG4143","Thiamine-binding periplasmic protein","K02064"
"297","KKOIIGHA_00427","CDS",1665,"thiP","","","Thiamine transport system permease protein ThiP","K02063"
"298","KKOIIGHA_00428","CDS",1311,"proP","","COG0477","Proline/betaine transporter","K03762"
"299","KKOIIGHA_00429","CDS",663,"thiQ","7.6.2.15","COG3840","Thiamine import ATP-binding protein ThiQ","K02062"
"300","KKOIIGHA_00430","CDS",1845,"ilvD_1","4.2.1.9","COG0129","Dihydroxy-acid dehydratase","K01687"
"301","KKOIIGHA_00437","CDS",579,"nudE","3.6.1.-","COG0494","ADP compounds hydrolase NudE","K08312"
"302","KKOIIGHA_00438","CDS",666,"yrfG","3.1.3.5","COG1011","GMP/IMP nucleotidase YrfG","K20881"
"303","KKOIIGHA_00439","CDS",399,"hslR","","COG1188","Heat shock protein 15","K04762"
"304","KKOIIGHA_00440","CDS",876,"hslO","","COG1281","33 kDa chaperonin","K04083"
"305","KKOIIGHA_00441","CDS",1578,"pckA","4.1.1.49","COG1866","Phosphoenolpyruvate carboxykinase (ATP)","K01610"
"306","KKOIIGHA_00442","CDS",510,"msrB_1","1.8.4.12","","Peptide methionine sulfoxide reductase MsrB","K07305"
"307","KKOIIGHA_00443","CDS",2367,"yhgF","","COG2183","Protein YhgF","K06959"
"308","KKOIIGHA_00444","CDS",1659,"gshA","6.3.2.2","COG2918","Glutamate--cysteine ligase","K01919"
"309","KKOIIGHA_00445","CDS",519,"dsbB","","COG1495","Disulfide bond formation protein B","K03611"
"310","KKOIIGHA_00447","CDS",504,"rsd","","COG3160","Regulator of sigma D","K07740"
"311","KKOIIGHA_00448","CDS",3066,"swrC_1","","COG0841","Swarming motility protein SwrC","K18989"
"312","KKOIIGHA_00449","CDS",1092,"mdtA_1","","","Multidrug resistance protein MdtA","K03585"
"313","KKOIIGHA_00450","CDS",1488,"mqo","1.1.5.4","COG0579","Malate:quinone oxidoreductase","K00116"
"314","KKOIIGHA_00452","CDS",552,"rppH","3.6.1.-","COG0494","RNA pyrophosphohydrolase","K08311"
"315","KKOIIGHA_00453","CDS",2274,"ptsP","2.7.3.9","COG3605","Phosphoenolpyruvate-dependent phosphotransferase system","K08484"
"316","KKOIIGHA_00456","CDS",801,"lgt","2.5.1.145","COG0682","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","K13292"
"317","KKOIIGHA_00457","CDS",795,"thyA","2.1.1.45","COG0207","Thymidylate synthase","K00560"
"318","KKOIIGHA_00458","CDS",558,"","","","hypothetical protein","K00287"
"319","KKOIIGHA_00459","CDS",729,"proQ","","","RNA chaperone ProQ","K03607"
"320","KKOIIGHA_00463","CDS",318,"dksA_1","","","RNA polymerase-binding transcription factor DksA","K06204"
"321","KKOIIGHA_00465","CDS",1200,"","1.5.1.55","COG1748","Carboxyaminopropylagmatine dehydrogenase","K27502"
"322","KKOIIGHA_00466","CDS",1173,"","4.1.1.127","COG0019","Carboxyaminopropylagmatine decarboxylase","K27684"
"323","KKOIIGHA_00470","CDS",777,"cmoM","2.1.1.-","COG2227","tRNA 5-carboxymethoxyuridine methyltransferase","K06219"
"324","KKOIIGHA_00474","CDS",1236,"","","","hypothetical protein","K25223"
"325","KKOIIGHA_00475","CDS",1032,"gap3","1.2.1.12","COG0057","Glyceraldehyde-3-phosphate dehydrogenase 3","K25224"
"326","KKOIIGHA_00476","CDS",426,"arsC_1","1.20.4.4","","Arsenate reductase","K03741"
"327","KKOIIGHA_00477","CDS",414,"arsC_2","1.20.4.1","COG1393","Arsenate reductase","K00537"
"328","KKOIIGHA_00478","CDS",729,"arsH","1.-.-.-","COG0431","NADPH-dependent FMN reductase ArsH","K11811"
"329","KKOIIGHA_00479","CDS",1068,"acr3","","COG0798","Arsenical-resistance protein Acr3","K03325"
"330","KKOIIGHA_00481","CDS",996,"rsmC","2.1.1.172","","Ribosomal RNA small subunit methyltransferase C","K00564"
"331","KKOIIGHA_00482","CDS",540,"greB","","COG0782","Transcription elongation factor GreB","K04760"
"332","KKOIIGHA_00484","CDS",630,"nudF","3.6.1.13","COG0494","ADP-ribose pyrophosphatase","K01515"
"333","KKOIIGHA_00485","CDS",453,"","","","hypothetical protein","K09920"
"334","KKOIIGHA_00486","CDS",735,"","3.1.4.17","COG1409","3',5'-cyclic-nucleotide phosphodiesterase","K03651"
"335","KKOIIGHA_00487","CDS",912,"cysD_1","2.7.7.4","COG0175","Sulfate adenylyltransferase subunit 2","K00957"
"336","KKOIIGHA_00489","CDS",1443,"cysN","2.7.7.4","COG2895","Sulfate adenylyltransferase subunit 1","K00956"
"337","KKOIIGHA_00490","CDS",996,"cmoB","2.5.1.-","COG0500","tRNA U34 carboxymethyltransferase","K15257"
"338","KKOIIGHA_00491","CDS",768,"cmoA","2.1.3.-","COG2226","Carboxy-S-adenosyl-L-methionine synthase","K15256"
"339","KKOIIGHA_00492","CDS",1665,"pgi_1","5.3.1.9","COG0166","Glucose-6-phosphate isomerase","K01810"
"340","KKOIIGHA_00493","CDS",645,"","","","hypothetical protein","K07000"
"341","KKOIIGHA_00494","CDS",1881,"parE","","","DNA topoisomerase IV subunit B ParE","K02622"
"342","KKOIIGHA_00495","CDS",2256,"parC","","","DNA topoisomerase IV subunit A ParC","K02621"
"343","KKOIIGHA_00496","CDS",1221,"","3.1.3.3","COG0560","Phosphoserine phosphatase","K01079"
"344","KKOIIGHA_00499","CDS",1710,"leuA_1","2.3.3.13","COG0119","2-isopropylmalate synthase","K01649"
"345","KKOIIGHA_00500","CDS",1041,"epmB","5.4.3.-","COG1509","L-lysine 2,3-aminomutase","K19810"
"346","KKOIIGHA_00501","CDS",567,"efp","","COG0231","Elongation factor P","K02356"
"347","KKOIIGHA_00502","CDS",969,"epmA","6.3.2.-","COG2269","Elongation factor P--(R)-beta-lysine ligase","K04568"
"348","KKOIIGHA_00505","CDS",900,"psd","4.1.1.65","COG0688","Phosphatidylserine decarboxylase proenzyme","K01613"
"349","KKOIIGHA_00506","CDS",834,"rhdA","2.8.1.1","","Thiosulfate sulfurtransferase","K01011"
"350","KKOIIGHA_00507","CDS",1014,"rsgA","3.6.1.-","","Small ribosomal subunit biogenesis GTPase RsgA","K06949"
"351","KKOIIGHA_00508","CDS",585,"orn","3.1.15.-","COG1949","Oligoribonuclease","K13288"
"352","KKOIIGHA_00509","CDS",1116,"queG","1.17.99.6","COG1600","Epoxyqueuosine reductase","K18979"
"353","KKOIIGHA_00510","CDS",1503,"nnr","","COG0062","Bifunctional NAD(P)H-hydrate repair enzyme Nnr","K23997"
"354","KKOIIGHA_00511","CDS",480,"tsaE","","COG0802","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","K06925"
"355","KKOIIGHA_00512","CDS",1470,"","","","hypothetical protein","K01448"
"356","KKOIIGHA_00513","CDS",1959,"mutL","","","DNA mismatch repair protein MutL","K03572"
"357","KKOIIGHA_00514","CDS",966,"miaA","2.5.1.75","","tRNA dimethylallyltransferase","K00791"
"358","KKOIIGHA_00515","CDS",246,"hfq","","","RNA-binding protein Hfq","K03666"
"359","KKOIIGHA_00516","CDS",1329,"hflX","","COG2262","GTPase HflX","K03665"
"360","KKOIIGHA_00517","CDS",1224,"hflK","","COG0330","Modulator of FtsH protease HflK","K04088"
"361","KKOIIGHA_00518","CDS",900,"hflC","","COG0330","Modulator of FtsH protease HflC","K04087"
"362","KKOIIGHA_00519","CDS",1200,"hisZ","","","ATP phosphoribosyltransferase regulatory subunit","K02502"
"363","KKOIIGHA_00520","CDS",1296,"purA","6.3.4.4","COG0104","Adenylosuccinate synthetase","K01939"
"364","KKOIIGHA_00521","CDS",2784,"","","","hypothetical protein","K07126"
"365","KKOIIGHA_00525","CDS",1944,"","","","hypothetical protein","K19290"
"366","KKOIIGHA_00526","CDS",1362,"rkpK_1","1.1.1.22","COG1004","UDP-glucose 6-dehydrogenase","K00012"
"367","KKOIIGHA_00528","CDS",1443,"sufB","","COG0719","Iron-sulfur cluster assembly protein SufB","K09014"
"368","KKOIIGHA_00529","CDS",753,"sufC","","COG0396","putative ATP-dependent transporter SufC","K09013"
"369","KKOIIGHA_00530","CDS",1398,"sufD","","COG0719","Iron-sulfur cluster assembly protein SufD","K09015"
"370","KKOIIGHA_00531","CDS",1242,"cyd","2.8.1.7","COG0520","Cysteine desulfurase","K11717"
"371","KKOIIGHA_00533","CDS",660,"","","","hypothetical protein","K03748"
"372","KKOIIGHA_00535","CDS",909,"rimK_1","6.3.2.-","","putative alpha-L-glutamate ligase","K05844"
"373","KKOIIGHA_00542","CDS",1491,"opuE","","COG0591","Osmoregulated proline transporter OpuE","K11928"
"374","KKOIIGHA_00543","CDS",3192,"putA","","COG0506","Bifunctional protein PutA","K13821"
"375","KKOIIGHA_00548","CDS",1470,"pdhD_1","1.8.1.4","","Dihydrolipoyl dehydrogenase","K00382"
"376","KKOIIGHA_00551","CDS",474,"pcp","","COG3133","Outer membrane lipoprotein pcp","K06077"
"377","KKOIIGHA_00552","CDS",1599,"","4.1.3.1","","Isocitrate lyase","K01637"
"378","KKOIIGHA_00554","CDS",1206,"roxA","1.14.11.47","COG2850","Ribosomal protein uL16 3-hydroxylase","K18850"
"379","KKOIIGHA_00555","CDS",1365,"purB","4.3.2.2","","Adenylosuccinate lyase","K01756"
"380","KKOIIGHA_00556","CDS",639,"hflD","","COG2915","High frequency lysogenization protein HflD","K07153"
"381","KKOIIGHA_00557","CDS",1128,"mnmA","2.8.1.13","COG0482","tRNA-specific 2-thiouridylase MnmA","K00566"
"382","KKOIIGHA_00559","CDS",615,"rluE","5.4.99.20","COG1187","Ribosomal large subunit pseudouridine synthase E","K06181"
"383","KKOIIGHA_00560","CDS",2232,"icd","1.1.1.42","","Isocitrate dehydrogenase [NADP]","K00031"
"384","KKOIIGHA_00561","CDS",363,"clpS","","","ATP-dependent Clp protease adapter protein ClpS","K06891"
"385","KKOIIGHA_00562","CDS",2265,"clpA","","COG0542","ATP-dependent Clp protease ATP-binding subunit ClpA","K03694"
"386","KKOIIGHA_00563","CDS",219,"infA","","COG0361","Translation initiation factor IF-1","K02518"
"387","KKOIIGHA_00564","CDS",747,"bpt","2.3.2.29","COG2935","Aspartate/glutamate leucyltransferase","K21420"
"388","KKOIIGHA_00565","CDS",723,"aat","2.3.2.6","COG2360","Leucyl/phenylalanyl-tRNA--protein transferase","K00684"
"389","KKOIIGHA_00566","CDS",3156,"","","","hypothetical protein","K03466"
"390","KKOIIGHA_00567","CDS",636,"lolA","","","Outer-membrane lipoprotein carrier protein","K03634"
"391","KKOIIGHA_00569","CDS",1371,"bphA","1.14.12.18","","Biphenyl dioxygenase subunit alpha","K05708"
"392","KKOIIGHA_00571","CDS",1230,"bedA","1.18.1.3","","Benzene 1,2-dioxygenase system ferredoxin--NAD(+) reductase subunit","K00529"
"393","KKOIIGHA_00573","CDS",936,"bphC","1.13.11.39","COG0346","Biphenyl-2,3-diol 1,2-dioxygenase","K16049"
"394","KKOIIGHA_00574","CDS",1374,"ompP1","","","Outer membrane protein P1","K06076"
"395","KKOIIGHA_00576","CDS",579,"tesE","4.2.1.132","","2-hydroxyhexa-2,4-dienoate hydratase","K02554"
"396","KKOIIGHA_00577","CDS",936,"mhpF_1","1.2.1.10","COG4569","Acetaldehyde dehydrogenase","K04073"
"397","KKOIIGHA_00578","CDS",1038,"dmpG","4.1.3.39","","4-hydroxy-2-oxovalerate aldolase","K01666"
"398","KKOIIGHA_00581","CDS",1350,"rarA","","COG2256","Replication-associated recombination protein A","K07478"
"399","KKOIIGHA_00583","CDS",810,"murI","5.1.1.3","COG0796","Glutamate racemase","K01776"
"400","KKOIIGHA_00584","CDS",1107,"trmA","2.1.1.-","COG2265","tRNA/tmRNA (uracil-C(5))-methyltransferase","K00557"
"401","KKOIIGHA_00585","CDS",4845,"gdh_2","1.4.1.2","COG2902","NAD-specific glutamate dehydrogenase","K15371"
"402","KKOIIGHA_00587","CDS",1059,"pyrD","1.3.5.2","COG0167","Dihydroorotate dehydrogenase (quinone)","K00254"
"403","KKOIIGHA_00588","CDS",210,"rmf","","","Ribosome modulation factor","K03812"
"404","KKOIIGHA_00589","CDS",2178,"rlmL","","COG0116","Ribosomal RNA large subunit methyltransferase K/L","K12297"
"405","KKOIIGHA_00591","CDS",1152,"pdxB","1.1.1.290","","Erythronate-4-phosphate dehydrogenase","K03473"
"406","KKOIIGHA_00592","CDS",900,"htpX","3.4.24.-","COG0501","Protease HtpX","K03799"
"407","KKOIIGHA_00593","CDS",1236,"alaA","2.6.1.2","COG0436","Glutamate-pyruvate aminotransferase AlaA","K14260"
"408","KKOIIGHA_00594","CDS",936,"rbgA","","COG1161","Ribosome biogenesis GTPase A","K14540"
"409","KKOIIGHA_00595","CDS",402,"msrB_2","1.8.4.12","","Peptide methionine sulfoxide reductase MsrB","K07305"
"410","KKOIIGHA_00602","CDS",969,"yadG_1","","COG1131","putative ABC transporter ATP-binding protein YadG","K01990"
"411","KKOIIGHA_00603","CDS",774,"yadH_1","","COG0842","Inner membrane transport permease YadH","K01992"
"412","KKOIIGHA_00604","CDS",831,"queF","1.7.1.13","COG0780","NADPH-dependent 7-cyano-7-deazaguanine reductase","K06879"
"413","KKOIIGHA_00609","CDS",657,"ytfE","","COG2846","Iron-sulfur cluster repair protein YtfE","K07322"
"414","KKOIIGHA_00610","CDS",1524,"norR2","","COG3604","Nitric oxide reductase transcription regulator NorR2","K12266"
"415","KKOIIGHA_00613","CDS",1278,"umuC","","COG0389","Protein UmuC","K03502"
"416","KKOIIGHA_00614","CDS",441,"lexA_1","3.4.21.88","","LexA repressor","K03503"
"417","KKOIIGHA_00615","CDS",1458,"gbsA","1.2.1.8","COG1012","Betaine aldehyde dehydrogenase","K00130"
"418","KKOIIGHA_00616","CDS",732,"occM","","","Octopine transport system permease protein OccM","K02029"
"419","KKOIIGHA_00620","CDS",1212,"dctMQ_1","","COG1593","Isethionate TRAP transporter permease protein DctMQ","K11690"
"420","KKOIIGHA_00622","CDS",1578,"","1.2.1.26","","Alpha-ketoglutaric semialdehyde dehydrogenase 2","K13877"
"421","KKOIIGHA_00624","CDS",1305,"","4.2.1.68","COG4948","L-fuconate dehydratase","K18334"
"422","KKOIIGHA_00625","CDS",1053,"","","COG1638","Solute-binding protein","K11688"
"423","KKOIIGHA_00627","CDS",1257,"siaT_1","","COG1593","Sialic acid TRAP transporter permease protein SiaT","K11690"
"424","KKOIIGHA_00629","CDS",750,"","1.1.1.-","COG1028","2-keto-3-deoxy-L-fuconate dehydrogenase","K18335"
"425","KKOIIGHA_00631","CDS",1641,"uxaA","4.2.1.7","COG2721","Altronate dehydratase","K01685"
"426","KKOIIGHA_00632","CDS",723,"nanR","","COG2186","HTH-type transcriptional repressor NanR","K22104"
"427","KKOIIGHA_00634","CDS",1380,"siaM_1","","COG1593","Sialic acid TRAP transporter large permease protein SiaM","K11690"
"428","KKOIIGHA_00635","CDS",555,"siaT_2","","COG1593","Sialic acid TRAP transporter permease protein SiaT","K11689"
"429","KKOIIGHA_00636","CDS",999,"siaP","","COG1638","Sialic acid-binding periplasmic protein SiaP","K11688"
"430","KKOIIGHA_00637","CDS",1149,"dtnK","2.7.1.219","COG3395","D-threonate kinase","K22129"
"431","KKOIIGHA_00638","CDS",996,"pdxA2","1.1.1.408","COG1995","D-threonate 4-phosphate dehydrogenase","K22024"
"432","KKOIIGHA_00639","CDS",765,"baiA","1.1.1.-","COG1028","3alpha-hydroxysteroid dehydrogenase","K00059"
"433","KKOIIGHA_00641","CDS",204,"cspG","","COG1278","Cold shock-like protein CspG","K03704"
"434","KKOIIGHA_00646","CDS",1290,"","","","hypothetical protein","K26937"
"435","KKOIIGHA_00647","CDS",813,"dkgB","1.1.1.-","COG0656","Methylglyoxal reductase DkgB","K06222"
"436","KKOIIGHA_00648","CDS",1137,"ndh_1","1.6.5.9","COG1252","Type II NADH:quinone oxidoreductase","K03885"
"437","KKOIIGHA_00650","CDS",1197,"metZ","2.5.1.-","","O-succinylhomoserine sulfhydrylase","K10764"
"438","KKOIIGHA_00651","CDS",1518,"purF","2.4.2.14","COG0034","Amidophosphoribosyltransferase","K00764"
"439","KKOIIGHA_00652","CDS",612,"cvpA","","COG1286","Colicin V production protein","K03558"
"440","KKOIIGHA_00654","CDS",1290,"folC","6.3.2.12","COG0285","Dihydrofolate synthase/folylpolyglutamate synthase","K11754"
"441","KKOIIGHA_00655","CDS",1002,"accD","2.1.3.15","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","K01963"
"442","KKOIIGHA_00656","CDS",804,"trpA","4.2.1.20","COG0159","Tryptophan synthase alpha chain","K01695"
"443","KKOIIGHA_00657","CDS",1215,"trpB","4.2.1.20","COG0133","Tryptophan synthase beta chain","K01696"
"444","KKOIIGHA_00658","CDS",624,"trpF","5.3.1.24","COG0135","N-(5'-phosphoribosyl)anthranilate isomerase","K01817"
"445","KKOIIGHA_00659","CDS",999,"truA","5.4.99.12","COG0101","tRNA pseudouridine synthase A","K06173"
"446","KKOIIGHA_00660","CDS",2166,"","","","hypothetical protein","K08086"
"447","KKOIIGHA_00661","CDS",1116,"asd","1.2.1.11","COG0136","Aspartate-semialdehyde dehydrogenase","K00133"
"448","KKOIIGHA_00662","CDS",1080,"leuB","1.1.1.85","","3-isopropylmalate dehydrogenase","K00052"
"449","KKOIIGHA_00663","CDS",648,"leuD1","4.2.1.33","","3-isopropylmalate dehydratase small subunit 1","K01704"
